"x";"y";"z";"E";"n"
-23;-25;21;1;1
-23;-23;13;1;29
-23;-23;14;1;21
-23;-24;17;0;0
-24;-24;19;1;1
-24;-24;21;0;0
-24;-24;22;0;0
-24;-24;24;1;3
-24;-24;25;0;0
-24;-23;15;0;0
-24;-23;17;1;2
-24;-23;18;1;5
-24;-23;19;1;16
-24;-23;20;1;3
-24;-23;21;0;0
-24;-23;24;1;1
-24;-21;10;0;0
-24;-22;12;1;16
-24;-22;13;1;3
-24;-22;14;0;0
-24;-22;15;0;0
-25;-22;19;1;1
-25;-22;20;1;9
-25;-22;21;1;1
-25;-22;22;0;0
-25;-22;24;0;0
-25;-22;26;1;8
-25;-21;11;1;2
-25;-21;13;0;0
-25;-21;17;0;0
-25;-21;18;1;2
-25;-21;19;1;1
-25;-21;20;0;0
-25;-21;21;1;1
-25;-21;22;1;2
-25;-21;24;1;2
-25;-20;10;1;2
-25;-20;15;1;1
-25;-20;17;1;1
-26;-20;18;0;0
-26;-20;20;1;4
-26;-20;21;0;0
-26;-20;25;1;1
-26;-19;11;1;1
-26;-19;14;1;13
-26;-19;15;1;1
-26;-19;18;0;0
-26;-19;25;1;1
-27;-20;26;1;1
-26;-18;12;1;3
-26;-18;13;1;1
-26;-18;16;1;18
-27;-18;17;1;10
-27;-18;20;0;0
-27;-19;26;1;6
-27;-19;27;1;2
-27;-17;11;0;0
-27;-17;14;0;0
-27;-17;15;1;3
-27;-17;16;1;2
-27;-17;21;1;4
-27;-18;24;1;7
-28;-18;26;1;1
-27;-16;13;1;7
-27;-16;14;0;0
-28;-17;20;1;7
-28;-17;21;0;0
-28;-17;23;1;1
-28;-17;24;1;3
-28;-17;27;1;1
-28;-15;13;1;2
-28;-16;17;1;2
-28;-16;18;0;0
-28;-16;21;0;0
-28;-16;22;0;0
-28;-16;24;0;0
-29;-16;26;0;0
-29;-16;27;0;0
-28;-14;11;1;4
-28;-14;12;1;1
-28;-14;13;0;0
-28;-15;15;0;0
-28;-15;16;1;2
-29;-15;18;0;0
-29;-15;25;1;1
-29;-15;26;0;0
-29;-15;27;0;0
-15;-35;15;0;0
-16;-34;11;0;0
-16;-34;13;1;2
-16;-34;14;1;1
-16;-33;11;0;0
-16;-34;13;0;0
-16;-34;15;1;1
-16;-34;16;0;0
-17;-33;15;0;0
-17;-33;16;0;0
-17;-33;17;0;0
-17;-33;18;0;0
-17;-32;12;1;2
-17;-32;13;0;0
-17;-32;17;1;2
-18;-32;19;1;2
-18;-31;12;0;0
-18;-31;14;1;9
-18;-31;21;1;21
-18;-30;11;1;2
-18;-30;14;1;4
-18;-30;17;0;0
-19;-30;18;0;0
-19;-30;21;1;12
-19;-29;11;1;9
-19;-29;12;1;23
-19;-29;17;0;0
-19;-30;20;1;9
-19;-30;22;0;0
-19;-28;11;1;4
-19;-28;13;0;0
-19;-28;15;1;4
-20;-29;18;1;2
-20;-29;19;1;4
-20;-27;10;0;0
-20;-28;22;0;0
-20;-28;24;0;0
-20;-27;14;0;0
-20;-27;15;0;0
-21;-27;21;0;0
-21;-27;22;0;0
-21;-27;23;0;0
-21;-27;24;0;0
-21;-26;13;0;0
-21;-26;14;0;0
-21;-26;16;1;1
-21;-26;18;1;7
-21;-26;20;0;0
-21;-26;21;1;2
-21;-26;23;0;0
-21;-26;24;0;0
-21;-25;12;1;10
-21;-25;13;0;0
-21;-25;15;1;5
-22;-25;19;1;2
-22;-25;24;1;1
-22;-25;25;0;0
-22;-24;10;0;0
-22;-24;11;1;2
-22;-24;12;1;9
-22;-24;14;1;8
-22;-24;15;1;14
-22;-24;17;0;0
-22;-24;18;0;0
-22;-24;19;1;2
-22;-24;20;1;1
-22;-24;22;1;1
-22;-24;25;1;1
-22;-23;11;1;3
-22;-23;13;1;17
-22;-23;14;1;3
-23;-23;23;0;0
-23;-23;24;1;2
-23;-24;25;0;0
-23;-22;11;0;0
-23;-22;12;1;21
-23;-22;15;0;0
-23;-22;22;0;0
-23;-23;23;0;0
-23;-21;10;0;0
-23;-21;11;1;3
-23;-21;13;0;0
-23;-21;14;0;0
-24;-21;16;1;2
-24;-21;18;1;2
-24;-21;20;1;11
-24;-22;22;0;0
-24;-22;23;1;3
-24;-22;27;1;4
-24;-20;14;0;0
-24;-20;15;0;0
