x;y;z;E;n;objname;pgc;al2000;de2000;r
-39;0;13;1;0;PGC1594330;1594330;12,0738548;19,4924472;942592,208354255
-27;0;14;1;1;PGC1793314;1793314;12,0739771;26,9498566;695933,090677956
-39;0;17;1;1;2MASXJ12042652+2353291;3781895;12,07404;23,8912729;977919,485232485
-30;0;25;1;1;PGC2141821;2141821;12,0741707;39,0224675;897870,935632679
-30;0;19;1;1;PGC1992150;1992150;12,0743439;32,3371004;816036,098164956
-28;0;12;1;1;SDSSJ120428.97+240831.0;4309479;12,0747089;24,141991;698043,556211285
-25;0;7;1;1;PGC1499661;1499661;12,0747222;16,0556307;605460,385352891
-29;0;18;1;0;PGC2016528;2016528;12,0748017;32,8979583;787068,038422837
-39;0;17;1;1;PGC1695003;1695003;12,0749953;23,8586061;968226,585656809
-17;0;24;1;0;PGC2481799;2481799;12,075077;54,8333267;678901,506669958
-25;0;16;1;0;PGC2034233;2034233;12,0751271;33,5430497;692079,677205751
-24;0;10;1;1;PGC1667523;1667523;12,0753442;22,3097605;603639,670406648
-25;0;29;1;1;PGC2318168;2318168;12,075393;48,4687216;880297,817252019
-17;0;24;1;0;2MASXJ12043223+5427428;3476387;12,0756197;54,4620113;682801,294570428
-24;0;22;1;0;PGC2211910;2211910;12,075628;43,0520137;744344,318697992
-18;0;24;1;1;PGC2455269;2455269;12,075683;53,9416972;694309,203900308
-30;0;24;1;1;2MASXJ12043270+3901135;3781927;12,0757614;39,0203909;880197,341871419
-28;0;17;1;0;SDSSJ120432.76+320641.9;4102220;12,0757677;32,1116863;750135,361894441
-25;0;29;1;1;SDSSJ120433.60+483410.8;3547765;12,0759978;48,5697355;884456,406701408
-19;0;26;1;1;2MASXJ12043380+5419238;3476391;12,076059;54,3232013;738597,729373338
-28;0;16;1;1;PGC1913909;1913909;12,0760734;30,6912273;738399,14025879
-27;0;14;1;1;PGC1793246;1793246;12,0760766;26,9472579;701788,745625676
-34;0;11;1;1;PGC1549556;1549556;12,0761785;18,0780515;818071,903041263
-23;0;30;1;1;SDSSJ120434.33+521320.5;3401426;12,0762012;52,2223533;872719,833705471
-35;0;10;1;1;PGC1531225;1531225;12,0763253;17,3736734;827738,570931359
-27;0;25;1;1;PGC2200227;2200227;12,0763859;42,505197;835505,248164794
-32;0;15;1;1;2MASXJ12043498+2454252;3781936;12,0763873;24,9070349;812108,952942016
-30;0;24;1;1;SDSSJ120435.18+385827.2;4102222;12,0764392;38,9742482;890145,704354497
-24;0;14;1;1;PGC3089062;3089062;12,076446;30,1088053;649851,136440208
-24;0;22;1;0;PGC2201036;2201036;12,0766096;42,5434079;750209,428995984
-39;0;10;1;1;SDSSJ120436.02+150528.2;4102223;12,0766708;15,0911743;922822,497334882
-27;0;33;1;0;2MASXJ12043633+5019185;3411575;12,0767436;50,3217487;974014,98398344
-22;0;19;1;1;PGC2187424;2187424;12,0767932;41,8201337;667285,624363051
-17;0;25;1;0;PGC3086984;3086984;12,0768094;56,1132333;701993,357428426
-27;0;32;1;0;2MASXJ12043724+4929435;3411442;12,0770138;49,4953299;952810,097756669
-17;0;24;1;0;SDSSJ120437.29+544442.9;3476394;12,0770224;54,745289;688553,589385935
-24;0;21;1;0;PGC2184671;2184671;12,0771013;41,6581379;728854,909544195
-26;0;29;1;1;PGC2307173;2307173;12,0771637;47,932375;901872,693428863
-19;0;32;1;0;2MASXJ12043858+5910298;3409906;12,077386;59,1748487;845499,699475267
-30;0;19;1;1;PGC1993605;1993605;12,0773928;32,3667653;812107,929562689
-25;0;23;1;1;SDSSJ120438.68+423507.8;3547777;12,0774089;42,5854591;783351,917081064
-19;0;35;1;0;PGC2616729;2616729;12,0774737;61,3709118;907833,957178995
-39;0;13;1;0;PGC1563432;1563432;12,0775418;18,5697919;928831,685380807
-27;0;33;1;0;PGC2378847;2378847;12,0778672;50,6499014;979874,777573591
-24;0;22;1;0;PGC087494;87494;12,0780334;42,5083751;744322,638086263
-21;0;19;1;0;PGC2190244;2190244;12,0780505;41,9797973;657407,340400827
-17;0;29;1;1;2MASXJ12044104+5924027;3409911;12,0780567;59,4009119;769596,158125145
-25;0;20;1;1;PGC2124813;2124813;12,0780966;38,3595874;730740,273469804
-34;0;15;1;1;PGC1689123;1689123;12,0781122;23,5399332;848928,618005425
-23;0;30;1;1;2MASXJ12044218+5151115;3401757;12,0783772;51,8531363;866664,376388019
-17;0;29;1;1;2MASXJ12044224+5926067;3409907;12,0783984;59,4351479;769575,238156645
-25;0;8;1;1;PGC038220;38220;12,0777826;17,7481077;611132,177564198
-30;0;19;1;1;PGC2014565;2014565;12,0784139;32,8465933;827802,127165444
-38;0;21;1;1;PGC1871918;1871918;12,0784135;29,6108013;991560,570893974
-23;0;21;1;0;PGC2199943;2199943;12,0784547;42,4903387;730800,485575765
-23;0;30;1;1;PGC2415360;2415360;12,0786333;52,4533687;861000,195818517
-15;0;28;1;1;UGC07064A;38217;12,0786544;60,6725308;733090,642582473
-27;0;33;1;0;PGC2379359;2379359;12,0787303;50,6704285;984049,259337214
-38;0;12;1;1;PGC1554500;1554500;12,0787431;18,2586022;919317,926253667
-18;0;26;1;0;PGC2479850;2479850;12,0787851;54,7734532;723248,736154126
-16;0;28;1;0;PGC2605537;2605537;12,0788261;60,6930604;740522,673857621
-30;0;19;1;1;SDSSJ120444.08+321203.0;4102238;12,0789176;32,200876;804419,420449432
-25;0;29;1;1;2MASXJ12044445+4835495;3547786;12,0790199;48,5970863;876406,028496169
-37;0;11;1;0;SDSSJ120444.84+165144.3;4309704;12,0791256;16,8623811;884206,103566139
-16;0;29;1;0;PGC2604877;2604877;12,0792264;60,6408451;752334,247346984
-21;0;29;1;0;PGC2450904;2450904;12,0792333;53,7902007;812346,190682678
-17;0;24;1;0;2MASXJ12044530+5414317;3476403;12,0792384;54,2421754;684618,488977449
-27;0;15;1;0;PGC3089063;3089063;12,079266;29,7915537;723060,7071283
-20;0;18;1;1;SDSSJ120445.69+422326.1;3547790;12,0793625;42,3906084;634415,331807781
-22;0;19;1;1;PGC2187150;2187150;12,0793772;41,8059878;672932,026393711
-30;0;19;1;1;PGC1991660;1991660;12,0793953;32,3264632;806505,102613916
-27;0;17;1;1;SDSSJ120445.99+321717.4;4102241;12,0794463;32,2881539;742317,485916295
-21;0;16;1;1;SDSSJ120446.15+374324.6;4102242;12,0794898;37,7234584;613175,943304831
-27;0;28;1;1;SDSSJ120446.19+454953.2;3547791;12,0794989;45,8314662;892174,49947661
-38;0;12;1;1;PGC1533328;1533328;12,0795198;17,4609659;915294,626662048
-18;0;25;1;1;PGC2473712;2473712;12,0795608;54,5752187;703811,659202626
-24;0;22;1;0;PGC2201132;2201132;12,0796009;42,5482645;748200,948344518
-39;0;17;1;1;2MASXJ12044719+2318081;3781996;12,0797661;23,3023201;968201,851029956
-24;0;22;1;0;PGC2203099;2203099;12,0798707;42,641566;752168,562096851
-22;0;28;1;1;SDSSJ120447.57+514121.4;3401421;12,079879;51,6892793;828055,407107997
-26;0;30;1;1;PGC2334925;2334925;12,0799291;49,1525197;896003,425141929
-30;0;19;1;1;2MASXJ12044790+3211207;3782000;12,0799762;32,1890275;810364,717277406
-22;0;29;1;1;2MASXJ12044790+5151085;3401428;12,079987;51,852289;837799,370024696
-35;0;10;1;1;2MASXJ12044872+1634576;3782007;12,0802037;16,5827402;833496,595246848
-26;0;30;1;1;PGC2319860;2319860;12,0802972;48,5434135;907816,623809771
-17;0;28;1;0;2MASXJ12044961+5810566;3547798;12,0804388;58,1824007;746337,935280359
-28;0;17;1;0;PGC091167;91167;12,0804741;32,2619421;752118,109249309
-30;0;19;1;1;PGC1992320;1992320;12,0806178;32,3405739;814262,877768545
-18;0;25;1;1;PGC2462943;2462943;12,0807772;54,2108857;709678,931611081
-35;0;11;1;0;PGC1536705;1536705;12,0809788;17,6003132;843309,069179003
-24;0;23;1;1;SDSSJ120451.57+432156.6;3547799;12,0809921;43,3657056;763777,190362724
-28;0;29;1;1;PGC2271218;2271218;12,0811149;45,838535;913603,159949443
-28;0;26;1;1;SDSSJ120452.09+435315.1;3547800;12,0811384;43,8875661;876392,559081711
-19;0;35;1;0;SDSSJ120452.39+604551.0;3410003;12,0812182;60,7642054;905825,101952541
-37;0;11;1;0;PGC1519950;1519950;12,0812825;16,9077493;889891,407170743
-29;0;27;1;1;PGC2209521;2209521;12,0813199;42,9445972;901883,424123541
-23;0;30;1;1;PGC2415357;2415357;12,081465;52,4529902;864763,398122159
-23;0;21;1;0;PGC2196283;2196283;12,0815049;42,3069862;730778,483848178
-28;0;16;1;1;PGC1914829;1914829;12,0815667;30,7125467;738400,543340744
-28;0;12;1;1;PGC3089594;3089594;12,0816281;23,7439212;690171,56506027
-21;0;19;1;0;PGC2197424;2197424;12,0816305;42,3648303;653692,452781393
-23;0;27;1;1;PGC2350172;2350172;12,0817689;49,6798356;802749,733838969
-19;0;35;1;0;PGC2616772;2616772;12,0819104;61,3737875;898093,118707249
