Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj;;;;;
557.906;5.200.582;1,899;293.790;293.461;269.799;;;;;
Den. = milesimas de galaxia por Mal al cubo;;;;;;;;;;
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;;;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj;;;;
2805;569;549;324;0,00565;0,01035;0,00611;;;;
2815;595;560;300;0,00587;0,01049;0,005617;;;;
2825;608;549;330;0,00595;0,01021;0,006135;;;;
2835;651;578;324;0,00633;0,01067;0,005981;;;;
2845;590;523;341;0,0057;0,00959;0,006251;;;;
2855;642;577;292;0,00615;0,0105;0,005315;;;;
2865;703;574;350;0,00669;0,01038;0,006327;;;;
2875;678;583;355;0,00641;0,01046;0,006372;;;;
2885;555;547;319;0,00521;0,00975;0,005686;;;;
2895;669;611;357;0,00624;0,01082;0,00632;;;;
2905;658;606;319;0,00609;0,01065;0,005608;;;;
2915;653;606;347;0,006;0,01058;0,006059;;;;
2925;645;627;295;0,00589;0,01087;0,005116;;;;
2935;624;624;340;0,00566;0,01075;0,005856;;;;
2945;628;575;389;0,00566;0,00984;0,006655;;;;
2955;699;634;329;0,00625;0,01077;0,00559;;;;
2965;640;615;366;0,00569;0,01038;0,006177;;;;
2975;663;607;372;0,00585;0,01018;0,006236;;;;
2985;697;593;369;0,00611;0,00987;0,006144;;;;
2995;674;661;314;0,00587;0,01093;0,005194;;;;
3005;634;607;350;0,00549;0,00997;0,005751;;;;
3015;600;671;297;0,00516;0,01095;0,004848;;;;
3025;625;630;362;0,00534;0,01021;0,00587;;;;
3035;620;678;332;0,00526;0,01092;0,005348;;;;
3045;616;695;271;0,00519;0,01112;0,004337;;;;
3055;625;707;302;0,00523;0,01124;0,004801;;;;
3065;551;662;275;0,00458;0,01046;0,004343;;;;
3075;622;658;339;0,00514;0,01032;0,005319;;;;
3085;549;682;294;0,00451;0,01063;0,004583;;;;
3095;665;659;388;0,00542;0,01021;0,00601;;;;
3105;645;661;352;0,00523;0,01017;0,005417;;;;
3115;628;679;349;0,00506;0,01038;0,005336;;;;
3125;607;672;355;0,00486;0,01021;0,005394;;;;
3135;551;730;260;0,00438;0,01102;0,003925;;;;
3145;683;666;365;0,0054;0,00999;0,005475;;;;
3155;637;715;356;0,005;0,01066;0,005306;;;;
3165;706;689;362;0,00551;0,01021;0,005362;;;;
3175;646;699;362;0,00501;0,01029;0,005328;;;;
3185;609;679;297;0,00469;0,00993;0,004344;;;;
3195;610;740;331;0,00467;0,01076;0,004811;;;;
3205;582;705;326;0,00443;0,01018;0,004709;;;;
3215;587;708;317;0,00444;0,01016;0,00455;;;;
3225;585;685;297;0,00439;0,00977;0,004237;;;;
3235;602;744;296;0,00449;0,01055;0,004197;;;;
3245;550;761;287;0,00408;0,01072;0,004044;;;;
3255;566;740;291;0,00417;0,01036;0,004075;;;;
3265;552;734;306;0,00405;0,01022;0,004259;;;;
3275;545;760;294;0,00397;0,01051;0,004067;;;;
